Verkehrsmittel;Attribut;Elastizität;Marktanteil
MIV;Preis;-0.02765189993923182;0.37099498968457517
MIV;Zeit;-0.05725496132536437;0.37099498968457517
ÖV;Preis;-0.0095895614467781;0.2810624274014784
ÖV;Zeit;-0.09749114255863241;0.2810624274014784
AV;Preis;-0.020898246922135946;0.3479425829139465
AV;Zeit;-0.05261683417782281;0.3479425829139465
